22,3,19,kinjk01 (小白),[問卦] 台灣究竟什麼時候開始落後韓國？,Sun May 23 09:30:46 2021
7,1,6,pcshgod (pcshgod),[問卦] 請問會有多重校正回歸嗎？,Sun May 23 09:58:10 2021
8,0,8,a828203 (),[新聞] 桑默斯：加密幣有成為數位黃金的潛力,Sun May 23 06:39:19 2021
25,3,22,kenny1300175 (蘇湖),[新聞] 人夫連3天車上「握奶凍」小三嬌嗔 音檔曝光！法官臉紅、人妻臉綠了,Sun May 23 08:32:08 2021
12,16,-4,bemyangel (天使的羽翼),[問卦] 打台灣國產疫苗為何重要?,Sun May 23 03:24:30 2021
5,0,5,hrma (資深象迷),"[問卦] 所以是我們呆頑狼傲嬌, 不是中國不救???",Sun May 23 06:37:06 2021
4,0,4,todao (心裡有數),[問卦] 愛我到今生 不要問來生,Sun May 23 02:19:44 2021
92,24,68,Kazetachinu (辛普森ㄏㄏ ),[新聞] 隨機砍人！56歲男家庭失和 持刀砍超商女,Sun May 23 02:51:01 2021
26,0,26,manhaspen (男人有筆),[問卦] 哪個卡通人物的媽媽最會做菜？,Sun May 23 02:40:28 2021
4,0,4,LeonardoChen (LeonardoChen),Re,Sun May 23 02:21:49 2021
8,6,2,jefflin555 (196白白),[問卦] 現在友邦與台灣斷交各位會覺得生氣嗎？,Sun May 23 02:57:39 2021
2,5,-3,feeks (菲客絲不會有問題上來討.),Re,Sun May 23 07:05:58 2021
5,1,4,hewolf (hewolf),Re,Sun May 23 02:28:09 2021
3,1,2,cloud72426 (數字只是輔助不是真理),Re,Sun May 23 08:00:17 2021
6,1,5,Vendetta (V),[問卦] 英國靠封城+疫苗 才控制住英國變種病毒,Sun May 23 02:44:31 2021
1,0,1,LT134P (Azan),Re,Sun May 23 07:59:41 2021
41,9,32,peter950071 (小花),[問卦] 這樣的日子還要多久？,Sun May 23 02:49:58 2021
13,0,13,xiemark (aisinjuro),[問卦] 中央社新聞說400人是追加確認?,Sun May 23 06:50:16 2021
15,0,15,ILOVEluee (天天開心),[問卦] 檢驗量能無法提升 就不知道當日確診數？,Sun May 23 07:21:32 2021
1,0,1,baidu (Dr.百度™),Re,Sun May 23 01:39:28 2021
5,7,-2,arnold3 (憂鬱型男阿雲),[問卦] 中媒是不是惟恐天下不亂 一直報中國美國,Sun May 23 09:25:35 2021
23,1,22,hcltaiwan (HCL強酸無敵),[問卦] 請問明天就要上班該怎麼辦,Sun May 23 09:32:34 2021
6,0,6,EVEA (止痛錠.),[問卦] 警察沒稽查到台積電3員工不帶口罩,Sun May 23 01:56:33 2021
4,0,4,nemies (...),Re,Sun May 23 04:53:41 2021
4,7,-3,dispptt (dispptt),[問卦] 生過小孩的女生是不是各種不怕被看奶阿??,Sun May 23 02:19:13 2021
5,0,5,ericayou (vorka era),[問卦] 實驗數據校正回歸被教授譙是沒有價值嗎,Sun May 23 09:56:10 2021
9,1,8,love113w (),[問卦] 起司蛋餅加番茄醬是哪個教派的,Sun May 23 07:54:24 2021
5,1,4,littleyuan (baby),Re,Sun May 23 01:30:57 2021
4,1,3,seand8088503 (あいうえお),[問卦] 有打工仔被疫情影響沒班上的嗎？,Sun May 23 03:14:47 2021
3,0,3,ghghfftjack (慾望深厚的老衲),Re,Sun May 23 01:37:08 2021
23,5,18,a9940597 (假摔哥),[問卦] 台灣怎麼會變成這樣？,Sun May 23 08:37:25 2021
4,1,3,fixer (修理工),[問卦] 校正回歸，確診算哪一天的標準是什麼?,Sun May 23 03:16:16 2021
3,3,0,NICEGOGO (平凡平凡),[問卦] Persona5的認知作戰,Sun May 23 01:42:34 2021
0,0,0,danic (好運旺旺來),[問卦] 國產疫苗  V.S  莫德納  都幾?,Sun May 23 09:59:27 2021
16,4,12,cj3x04gp6 (90年代nba跪古濺今迷),[問卦] 張量潁有一首歌紅過嗎?,Sun May 23 09:46:40 2021
5,4,1,zxc445567 (飄飄),[問卦] 台灣是不是沒有像三星的財閥？,Sun May 23 09:16:05 2021
3,1,2,biting (菜B),[問卦] 很遠的地方有個女郎 名字叫做耶利亞,Sun May 23 02:40:28 2021
2,0,2,pili012140 (mike),[問卦] 謀財害命再來是什麼？,Sun May 23 09:24:13 2021
15,2,13,aceral1916 (我好興奮rrrrrrrrrrrrrrr),[問卦] 我的SPSS沒有校正回歸怎麼辦? 在線等,Sun May 23 04:51:13 2021
169,137,32,GGGGININDER (),[新聞] 調查局有動作了！　加強情蒐「網友討論校正回歸」,Sun May 23 08:20:38 2021
2,3,-1,toro556613 (立禾),[問卦] 再一次無薪假OK嗎？,Sun May 23 03:45:41 2021
254,31,223,macpaul (琴韻),[爆卦] 阿中部長一夜白頭其實有修圖？？,Sun May 23 02:20:50 2021
0,0,0,arsonlolita (蘿莉塔大魔王),[公告] 八卦板板規(2021.05.11),Tue May 11 15:03:06 2021
4,1,3,popia77 (pia),[問卦] 有因為怕死卻被拿來自嗨的卦嗎？,Sun May 23 04:14:31 2021
11,9,2,vonannes (),[問卦] 有沒有八卦板網軍有夠傲嬌的八卦,Sun May 23 09:11:45 2021
7,7,0,mean (低智商生活),Re,Sun May 23 02:24:14 2021
9,0,9,micoun828 (micoun),[問卦] 有校正的校正回歸嗎？,Sun May 23 01:37:43 2021
16,6,10,Lawleit (大員郭奉孝),[問卦] 政府為啥不能買大陸bnt疫苗？,Sun May 23 09:24:37 2021
1,1,0,oberon1013 (破420了.),[問卦] 校正回歸,Sun May 23 09:51:08 2021
0,0,0,Nick87061319 (Nick),Re,Sun May 23 09:56:44 2021
3,1,2,as23305747 (BBQ),[問卦] 國軍吃美豬？,Sun May 23 09:14:57 2021
3,0,3,hahagirls (布丁),Re,Sun May 23 01:30:47 2021
4,1,3,ddaaemon (天使惡魔),Re,Sun May 23 09:41:59 2021
8,2,6,Bastille (巴士底),[問卦] 有人最近生活也沒啥改變的八卦嗎？,Sun May 23 07:42:03 2021
7,2,5,pp5434 (),[問卦] 外帶大埔鐵板燒大辣加蔥蛋爽不爽,Sun May 23 02:07:53 2021
0,0,0,aoilight (Aoilight),,
8,1,7,leighmeow (warau),Re,Sun May 23 08:37:58 2021
6,0,6,mucorn (MU),[問卦] 裝睡的人叫不醒怎麼辦?,Sun May 23 06:55:49 2021
6,1,5,vy8824 (巴塞隆納- 紐塞),[問卦] 四個月海陸 vs 6個月替代役,Sun May 23 07:24:42 2021
1,0,1,rock1986 (夢が人生をつくるのです),Re,Sun May 23 09:42:44 2021
15,2,13,ilovemami (聯絡簿教主),Re,Sun May 23 04:46:05 2021
10,0,10,ubcs (覺★青年超冒險蓋),[公告] 523新增違規案例及上周校正回歸個案 水桶,Sun May 23 06:49:09 2021
4,1,3,leoyuan (糜爛生活該結束了),Re,Sun May 23 02:13:38 2021
26,4,22,soulboy330 (stay the course),[問卦] 什麼時候四級警戒？,Sun May 23 01:55:27 2021
5,0,5,Lucky0105 (洋),[問卦] 頭文字D 算是好玩的賽車遊戲嗎?,Sun May 23 08:04:48 2021
2,0,2,ptt987654321 (),Re,Sun May 23 07:18:36 2021
184,16,168,hoin (◎_◎),[問卦] 范雲和華航到底要躲到哪時候,Sun May 23 09:26:18 2021
3,3,0,Romeo5566 (羅密歐),[問卦] 你有被男友或老公 大聲過嗎?,Sun May 23 02:07:48 2021
3,0,3,neiltsang (楚留香雞排),[問卦] 犀利人妻是不是在諷刺乖乖牌?,Sun May 23 02:04:39 2021
671,270,401,blackdog173 (黑狗),[問卦] 幾年內票不會投給民進黨,Sun May 23 07:44:20 2021
1,0,1,NEX4036 (Ryotsu),[問卦] 黑暗之中閉上眼,Sun May 23 05:39:07 2021
0,0,0,Trozy (藍),[問卦] 工程師的人生是不是屌打8+9？,Sun May 23 10:00:05 2021
12,5,7,words2012 (づ′・ω・),[問卦] 哇!林瑞陽的兒子非常俊俏!,Sun May 23 01:44:29 2021
